\                                                                               
\fixlen = T
\RowsRetrieved =               426
\ 
\ koaid 
\ ___ Unique identifier for each file
\ ofname 
\ ___ Original filename at the telescope, copied from DATAFILE keyword
\ targname 
\ ___ target-name
\ koaimtyp 
\ ___ KOA image type
\ frameno 
\ ___ frame-number
\ ra (deg) 
\ ___ Right Ascension (J2000)
\ dec (deg) 
\ ___ Declination (J20000)
\ date_obs 
\ ___ universal date of observation
\ ut 
\ ___ coordinated universal time
\ elaptime 
\ ___ elapsed-time
\ equinox 
\ ___ telescope-equinox
\ progid 
\ ___ WMKO program ID
\ proginst 
\ ___ Program institution
\ progpi 
\ ___ Program principal investigator
\ progtitl 
\ ___ Title of observing program
\ filehand 
\ ___ Path to the file in the archive
\ semid 
\ ___ SEMESTER and PROGID
\ propint 
\ ___ Proprietary Period Interval
\ 
|                             koaid|                           ofname| instrument|                                                              targname|                                                              koaimtyp|          frameno|                 ra|                dec|                       date_obs|                         ut|           elaptime|            equinox|                                                                progid|  proginst|                                                                progpi|                                                                                                                                                                                                           progtitl|                                                                                                                                                filehand|                 semid|          propint| prop|
|                              char|                             char|       char|                                                                  char|                                                                  char|             long|             double|             double|                           char|                       char|             double|             double|                                                                  char|      char|                                                                  char|                                                                                                                                                                                                               char|                                                                                                                                                    char|                  char|             long| char|
|                                  |                                 |           |                                                                      |                                                                      |                 |                deg|                deg|                               |                           |                   |                   |                                                                      |          |                                                                      |                                                                                                                                                                                                                   |                                                                                                                                                        |                      |                 |     |
|                              null|                             null|       null|                                                                  null|                                                                  null|             null|               null|               null|                           null|                       null|               null|               null|                                                                  null|      null|                                                                  null|                                                                                                                                                                                                               null|                                                                                                                                                    null|                  null|             null| null|
             N1.20090531.23812.fits                       s00116.fits        NIRC                                                                RSN_M82                                                                 object               116           148.96791            69.68275                      2009-05-31                 06:36:52.93            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.23812.fits            2009a_u105n                18     f 
             N1.20090531.23841.fits                       s00117.fits        NIRC                                                                RSN_M82                                                                 object               117           148.95510            69.68047                      2009-05-31                 06:37:21.38            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.23841.fits            2009a_u105n                18     f 
             N1.20090531.23891.fits                       s00118.fits        NIRC                                                                RSN_M82                                                                 object               118           148.96479            69.67939                      2009-05-31                 06:38:11.64            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.23891.fits            2009a_u105n                18     f 
             N1.20090531.23916.fits                       s00119.fits        NIRC                                                                RSN_M82                                                                 object               119           148.96167            69.67602                      2009-05-31                 06:38:36.44            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.23916.fits            2009a_u105n                18     f 
             N1.20090531.23941.fits                       s00120.fits        NIRC                                                                RSN_M82                                                                 object               120           148.97448            69.67830                      2009-05-31                 06:39:01.49            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.23941.fits            2009a_u105n                18     f 
             N1.20090531.23966.fits                       s00121.fits        NIRC                                                                RSN_M82                                                                 object               121           148.96791            69.68275                      2009-05-31                 06:39:26.09            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.23966.fits            2009a_u105n                18     f 
             N1.20090531.23993.fits                       s00122.fits        NIRC                                                                RSN_M82                                                                 object               122           148.95510            69.68047                      2009-05-31                 06:39:53.09            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.23993.fits            2009a_u105n                18     f 
             N1.20090531.24268.fits                       s00123.fits        NIRC                                                          GRB090426_ctr                                                                 object               123           189.07766            32.98449                      2009-05-31                 06:44:28.29            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.24268.fits            2009a_u105n                18     f 
             N1.20090531.24343.fits                       s00124.fits        NIRC                                                          GRB090426_ctr                                                                 object               124           189.08031            32.98671                      2009-05-31                 06:45:43.59            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.24343.fits            2009a_u105n                18     f 
             N1.20090531.24459.fits                       s00125.fits        NIRC                                                          GRB090426_ctr                                                                 object               125           189.07766            32.98449                      2009-05-31                 06:47:39.99            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.24459.fits            2009a_u105n                18     f 
             N1.20090531.24535.fits                       s00126.fits        NIRC                                                          GRB090426_ctr                                                                 object               126           189.07532            32.98436                      2009-05-31                 06:48:55.44            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.24535.fits            2009a_u105n                18     f 
             N1.20090531.24613.fits                       s00127.fits        NIRC                                                          GRB090426_ctr                                                                 object               127           189.07751            32.98645                      2009-05-31                 06:50:13.74            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.24613.fits            2009a_u105n                18     f 
             N1.20090531.24690.fits                       s00128.fits        NIRC                                                          GRB090426_ctr                                                                 object               128           189.07781            32.98253                      2009-05-31                 06:51:30.14            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.24690.fits            2009a_u105n                18     f 
             N1.20090531.24765.fits                       s00129.fits        NIRC                                                          GRB090426_ctr                                                                 object               129           189.08000            32.98461                      2009-05-31                 06:52:45.49            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.24765.fits            2009a_u105n                18     f 
             N1.20090531.24840.fits                       s00130.fits        NIRC                                                          GRB090426_ctr                                                                 object               130           189.07642            32.98541                      2009-05-31                 06:54:00.54            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.24840.fits            2009a_u105n                18     f 
             N1.20090531.24919.fits                       s00131.fits        NIRC                                                          GRB090426_ctr                                                                 object               131           189.07890            32.98357                      2009-05-31                 06:55:19.84            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.24919.fits            2009a_u105n                18     f 
             N1.20090531.24996.fits                       s00132.fits        NIRC                                                          GRB090426_ctr                                                                 object               132           189.07657            32.98345                      2009-05-31                 06:56:36.04            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.24996.fits            2009a_u105n                18     f 
             N1.20090531.25071.fits                       s00133.fits        NIRC                                                          GRB090426_ctr                                                                 object               133           189.07876            32.98553                      2009-05-31                 06:57:51.74            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.25071.fits            2009a_u105n                18     f 
             N1.20090531.25215.fits                       s00134.fits        NIRC                                                          GRB090426_ctr                                                                 object               134           189.07766            32.98449                      2009-05-31                 07:00:15.79            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.25215.fits            2009a_u105n                18     f 
             N1.20090531.25290.fits                       s00135.fits        NIRC                                                          GRB090426_ctr                                                                 object               135           189.07532            32.98436                      2009-05-31                 07:01:30.79            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.25290.fits            2009a_u105n                18     f 
             N1.20090531.25365.fits                       s00136.fits        NIRC                                                          GRB090426_ctr                                                                 object               136           189.07751            32.98645                      2009-05-31                 07:02:45.89            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.25365.fits            2009a_u105n                18     f 
             N1.20090531.25440.fits                       s00137.fits        NIRC                                                          GRB090426_ctr                                                                 object               137           189.07781            32.98253                      2009-05-31                 07:04:00.19            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.25440.fits            2009a_u105n                18     f 
             N1.20090531.25518.fits                       s00138.fits        NIRC                                                          GRB090426_ctr                                                                 object               138           189.08000            32.98461                      2009-05-31                 07:05:18.09            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.25518.fits            2009a_u105n                18     f 
             N1.20090531.25592.fits                       s00139.fits        NIRC                                                          GRB090426_ctr                                                                 object               139           189.07642            32.98541                      2009-05-31                 07:06:32.74            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.25592.fits            2009a_u105n                18     f 
             N1.20090531.25667.fits                       s00140.fits        NIRC                                                          GRB090426_ctr                                                                 object               140           189.07890            32.98357                      2009-05-31                 07:07:47.04            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.25667.fits            2009a_u105n                18     f 
             N1.20090531.25742.fits                       s00141.fits        NIRC                                                          GRB090426_ctr                                                                 object               141           189.07657            32.98345                      2009-05-31                 07:09:02.89            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.25742.fits            2009a_u105n                18     f 
             N1.20090531.25821.fits                       s00142.fits        NIRC                                                          GRB090426_ctr                                                                 object               142           189.07876            32.98553                      2009-05-31                 07:10:21.50            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.25821.fits            2009a_u105n                18     f 
             N1.20090531.25956.fits                       s00143.fits        NIRC                                                          GRB090426_ctr                                                                 object               143           189.07766            32.98449                      2009-05-31                 07:12:36.50            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.25956.fits            2009a_u105n                18     f 
             N1.20090531.26033.fits                       s00144.fits        NIRC                                                          GRB090426_ctr                                                                 object               144           189.07532            32.98436                      2009-05-31                 07:13:53.90            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.26033.fits            2009a_u105n                18     f 
             N1.20090531.26110.fits                       s00145.fits        NIRC                                                          GRB090426_ctr                                                                 object               145           189.07751            32.98645                      2009-05-31                 07:15:10.80            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.26110.fits            2009a_u105n                18     f 
             N1.20090531.26186.fits                       s00146.fits        NIRC                                                          GRB090426_ctr                                                                 object               146           189.07781            32.98253                      2009-05-31                 07:16:26.20            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.26186.fits            2009a_u105n                18     f 
             N1.20090531.26261.fits                       s00147.fits        NIRC                                                          GRB090426_ctr                                                                 object               147           189.08000            32.98461                      2009-05-31                 07:17:41.00            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.26261.fits            2009a_u105n                18     f 
             N1.20090531.26336.fits                       s00148.fits        NIRC                                                          GRB090426_ctr                                                                 object               148           189.07642            32.98541                      2009-05-31                 07:18:56.60            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.26336.fits            2009a_u105n                18     f 
             N1.20090531.26415.fits                       s00149.fits        NIRC                                                          GRB090426_ctr                                                                 object               149           189.07890            32.98357                      2009-05-31                 07:20:15.70            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.26415.fits            2009a_u105n                18     f 
             N1.20090531.26490.fits                       s00150.fits        NIRC                                                          GRB090426_ctr                                                                 object               150           189.07657            32.98345                      2009-05-31                 07:21:30.55            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.26490.fits            2009a_u105n                18     f 
             N1.20090531.26565.fits                       s00151.fits        NIRC                                                          GRB090426_ctr                                                                 object               151           189.07876            32.98553                      2009-05-31                 07:22:45.85            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.26565.fits            2009a_u105n                18     f 
             N1.20090531.26819.fits                       s00152.fits        NIRC                                                            FS23/M3-193                                                                 object               152           205.43345            28.49787                      2009-05-31                 07:26:59.25             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.26819.fits            2009a_u105n                18     f 
             N1.20090531.26983.fits                       s00154.fits        NIRC                                                            FS33/GD 153                                                                 object               154           194.25977            22.03218                      2009-05-31                 07:29:43.90             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.26983.fits            2009a_u105n                18     f 
             N1.20090531.27035.fits                       s00155.fits        NIRC                                                            FS33/GD 153                                                                 object               155           194.26216            22.03441                      2009-05-31                 07:30:35.55             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.27035.fits            2009a_u105n                18     f 
             N1.20090531.27093.fits                       s00156.fits        NIRC                                                            FS33/GD 153                                                                 object               156           194.25977            22.03218                      2009-05-31                 07:31:33.75             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.27093.fits            2009a_u105n                18     f 
             N1.20090531.27117.fits                       s00157.fits        NIRC                                                            FS33/GD 153                                                                 object               157           194.25977            22.03218                      2009-05-31                 07:31:57.95             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.27117.fits            2009a_u105n                18     f 
             N1.20090531.27138.fits                       s00158.fits        NIRC                                                            FS33/GD 153                                                                 object               158           194.26292            22.02961                      2009-05-31                 07:32:18.45             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.27138.fits            2009a_u105n                18     f 
             N1.20090531.27161.fits                       s00159.fits        NIRC                                                            FS33/GD 153                                                                 object               159           194.26569            22.03254                      2009-05-31                 07:32:41.40             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.27161.fits            2009a_u105n                18     f 
             N1.20090531.27182.fits                       s00160.fits        NIRC                                                            FS33/GD 153                                                                 object               160           194.26254            22.03510                      2009-05-31                 07:33:02.10             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.27182.fits            2009a_u105n                18     f 
             N1.20090531.27289.fits                       s00161.fits        NIRC                                                            FS33/GD 153                                                                 object               161           194.26274            22.03236                      2009-05-31                 07:34:49.05             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.27289.fits            2009a_u105n                18     f 
             N1.20090531.27313.fits                       s00162.fits        NIRC                                                            FS33/GD 153                                                                 object               162           194.25977            22.03218                      2009-05-31                 07:35:13.05             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.27313.fits            2009a_u105n                18     f 
             N1.20090531.27335.fits                       s00163.fits        NIRC                                                            FS33/GD 153                                                                 object               163           194.26292            22.02961                      2009-05-31                 07:35:35.10             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.27335.fits            2009a_u105n                18     f 
             N1.20090531.27357.fits                       s00164.fits        NIRC                                                            FS33/GD 153                                                                 object               164           194.26569            22.03254                      2009-05-31                 07:35:57.25             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.27357.fits            2009a_u105n                18     f 
