\                                                                               
\fixlen = T
\RowsRetrieved =               161
\ 
\ koaid 
\ ___ Unique identifier for each file
\ ofname 
\ ___ Original filename at the telescope, copied from DATAFILE keyword
\ targname 
\ ___ target-name
\ koaimtyp 
\ ___ KOA image type
\ frameno 
\ ___ frame-number
\ ra (deg) 
\ ___ Right Ascension (J2000)
\ dec (deg) 
\ ___ Declination (J20000)
\ date_obs 
\ ___ universal date of observation
\ ut 
\ ___ coordinated universal time
\ elaptime 
\ ___ elapsed-time
\ equinox 
\ ___ telescope-equinox
\ progid 
\ ___ WMKO program ID
\ proginst 
\ ___ Program institution
\ progpi 
\ ___ Program principal investigator
\ progtitl 
\ ___ Title of observing program
\ filehand 
\ ___ Path to the file in the archive
\ semid 
\ ___ SEMESTER and PROGID
\ propint 
\ ___ Proprietary Period Interval
\ 
|                             koaid|                           ofname| instrument|                                                              targname|                                                              koaimtyp|          frameno|                 ra|                dec|                       date_obs|                         ut|           elaptime|            equinox|                                                                progid|  proginst|                                                                progpi|                                                                                                                                                                                                           progtitl|                                                                                                                                                filehand|                 semid|          propint| prop|
|                              char|                             char|       char|                                                                  char|                                                                  char|             long|             double|             double|                           char|                       char|             double|             double|                                                                  char|      char|                                                                  char|                                                                                                                                                                                                               char|                                                                                                                                                    char|                  char|             long| char|
|                                  |                                 |           |                                                                      |                                                                      |                 |                deg|                deg|                               |                           |                   |                   |                                                                      |          |                                                                      |                                                                                                                                                                                                                   |                                                                                                                                                        |                      |                 |     |
|                              null|                             null|       null|                                                                  null|                                                                  null|             null|               null|               null|                           null|                       null|               null|               null|                                                                  null|      null|                                                                  null|                                                                                                                                                                                                               null|                                                                                                                                                    null|                  null|             null| null|
             N1.20090531.59175.fits                       s00539.fits        NIRC                                                           f/25 top end                                                                   dark               539           -16.02820             0.00000                      2009-05-31                 16:26:15.02            30.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59175.fits            2009a_u105n                18     f 
             N1.20090531.59212.fits                       s00540.fits        NIRC                                                           f/25 top end                                                                   dark               540           -16.02820             0.00000                      2009-05-31                 16:26:52.27            30.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59212.fits            2009a_u105n                18     f 
             N1.20090531.59249.fits                       s00541.fits        NIRC                                                           f/25 top end                                                                   dark               541           -16.02820             0.00000                      2009-05-31                 16:27:29.77            30.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59249.fits            2009a_u105n                18     f 
             N1.20090531.59288.fits                       s00542.fits        NIRC                                                           f/25 top end                                                                   dark               542           -16.02820             0.00000                      2009-05-31                 16:28:08.02            30.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59288.fits            2009a_u105n                18     f 
             N1.20090531.59326.fits                       s00543.fits        NIRC                                                           f/25 top end                                                                   dark               543           -16.02820             0.00000                      2009-05-31                 16:28:46.77            30.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59326.fits            2009a_u105n                18     f 
             N1.20090531.59364.fits                       s00544.fits        NIRC                                                           f/25 top end                                                                   dark               544           -16.02820             0.00000                      2009-05-31                 16:29:24.37            30.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59364.fits            2009a_u105n                18     f 
             N1.20090531.59402.fits                       s00545.fits        NIRC                                                           f/25 top end                                                                   dark               545           -16.02820             0.00000                      2009-05-31                 16:30:02.02            30.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59402.fits            2009a_u105n                18     f 
             N1.20090531.59440.fits                       s00546.fits        NIRC                                                           f/25 top end                                                                   dark               546           -16.02820             0.00000                      2009-05-31                 16:30:40.47            30.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59440.fits            2009a_u105n                18     f 
             N1.20090531.59478.fits                       s00547.fits        NIRC                                                           f/25 top end                                                                   dark               547           -16.02820             0.00000                      2009-05-31                 16:31:18.57            30.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59478.fits            2009a_u105n                18     f 
             N1.20090531.59575.fits                       s00548.fits        NIRC                                                           f/25 top end                                                                   dark               548           -16.02820             0.00000                      2009-05-31                 16:32:55.17            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59575.fits            2009a_u105n                18     f 
             N1.20090531.59592.fits                       s00549.fits        NIRC                                                           f/25 top end                                                                   dark               549           -16.02820             0.00000                      2009-05-31                 16:33:12.87            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59592.fits            2009a_u105n                18     f 
             N1.20090531.59610.fits                       s00550.fits        NIRC                                                           f/25 top end                                                                   dark               550           -16.02820             0.00000                      2009-05-31                 16:33:30.87            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59610.fits            2009a_u105n                18     f 
             N1.20090531.59628.fits                       s00551.fits        NIRC                                                           f/25 top end                                                                   dark               551           -16.02820             0.00000                      2009-05-31                 16:33:48.52            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59628.fits            2009a_u105n                18     f 
             N1.20090531.59646.fits                       s00552.fits        NIRC                                                           f/25 top end                                                                   dark               552           -16.02820             0.00000                      2009-05-31                 16:34:06.97            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59646.fits            2009a_u105n                18     f 
             N1.20090531.59665.fits                       s00553.fits        NIRC                                                           f/25 top end                                                                   dark               553           -16.02820             0.00000                      2009-05-31                 16:34:25.27            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59665.fits            2009a_u105n                18     f 
             N1.20090531.59684.fits                       s00554.fits        NIRC                                                           f/25 top end                                                                   dark               554           -16.02820             0.00000                      2009-05-31                 16:34:44.22            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59684.fits            2009a_u105n                18     f 
             N1.20090531.59703.fits                       s00555.fits        NIRC                                                           f/25 top end                                                                   dark               555           -16.02820             0.00000                      2009-05-31                 16:35:03.17            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59703.fits            2009a_u105n                18     f 
             N1.20090531.59721.fits                       s00556.fits        NIRC                                                           f/25 top end                                                                   dark               556           -16.02820             0.00000                      2009-05-31                 16:35:21.82            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59721.fits            2009a_u105n                18     f 
             N1.20090531.59739.fits                       s00557.fits        NIRC                                                           f/25 top end                                                                   dark               557           -16.02820             0.00000                      2009-05-31                 16:35:39.72            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59739.fits            2009a_u105n                18     f 
             N1.20090531.59757.fits                       s00558.fits        NIRC                                                           f/25 top end                                                                   dark               558           -16.02820             0.00000                      2009-05-31                 16:35:57.22            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59757.fits            2009a_u105n                18     f 
             N1.20090531.59879.fits                       s00559.fits        NIRC                                                           f/25 top end                                                                   dark               559           -16.02820             0.00000                      2009-05-31                 16:37:59.77            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59879.fits            2009a_u105n                18     f 
             N1.20090531.59897.fits                       s00560.fits        NIRC                                                           f/25 top end                                                                   dark               560           -16.02820             0.00000                      2009-05-31                 16:38:17.82            10.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59897.fits            2009a_u105n                18     f 
             N1.20090531.59958.fits                       s00561.fits        NIRC                                                           f/25 top end                                                                   dark               561           -16.02820             0.00000                      2009-05-31                 16:39:18.32            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59958.fits            2009a_u105n                18     f 
             N1.20090531.59978.fits                       s00562.fits        NIRC                                                           f/25 top end                                                                   dark               562           -16.02820             0.00000                      2009-05-31                 16:39:38.52            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59978.fits            2009a_u105n                18     f 
             N1.20090531.59998.fits                       s00563.fits        NIRC                                                           f/25 top end                                                                   dark               563           -16.02820             0.00000                      2009-05-31                 16:39:58.82            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.59998.fits            2009a_u105n                18     f 
             N1.20090531.60020.fits                       s00564.fits        NIRC                                                           f/25 top end                                                                   dark               564           -16.02820             0.00000                      2009-05-31                 16:40:20.17            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60020.fits            2009a_u105n                18     f 
             N1.20090531.60040.fits                       s00565.fits        NIRC                                                           f/25 top end                                                                   dark               565           -16.02820             0.00000                      2009-05-31                 16:40:40.42            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60040.fits            2009a_u105n                18     f 
             N1.20090531.60060.fits                       s00566.fits        NIRC                                                           f/25 top end                                                                   dark               566           -16.02820             0.00000                      2009-05-31                 16:41:00.47            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60060.fits            2009a_u105n                18     f 
             N1.20090531.60081.fits                       s00567.fits        NIRC                                                           f/25 top end                                                                   dark               567           -16.02820             0.00000                      2009-05-31                 16:41:21.72            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60081.fits            2009a_u105n                18     f 
             N1.20090531.60101.fits                       s00568.fits        NIRC                                                           f/25 top end                                                                   dark               568           -16.02820             0.00000                      2009-05-31                 16:41:41.87            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60101.fits            2009a_u105n                18     f 
             N1.20090531.60121.fits                       s00569.fits        NIRC                                                           f/25 top end                                                                   dark               569           -16.02820             0.00000                      2009-05-31                 16:42:01.37            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60121.fits            2009a_u105n                18     f 
             N1.20090531.60141.fits                       s00570.fits        NIRC                                                           f/25 top end                                                                   dark               570           -16.02820             0.00000                      2009-05-31                 16:42:21.82            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60141.fits            2009a_u105n                18     f 
             N1.20090531.60162.fits                       s00571.fits        NIRC                                                           f/25 top end                                                                   dark               571           -16.02820             0.00000                      2009-05-31                 16:42:42.17            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60162.fits            2009a_u105n                18     f 
             N1.20090531.60182.fits                       s00572.fits        NIRC                                                           f/25 top end                                                                   dark               572           -16.02820             0.00000                      2009-05-31                 16:43:02.82            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60182.fits            2009a_u105n                18     f 
             N1.20090531.60203.fits                       s00573.fits        NIRC                                                           f/25 top end                                                                   dark               573           -16.02820             0.00000                      2009-05-31                 16:43:23.07            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60203.fits            2009a_u105n                18     f 
             N1.20090531.60292.fits                       s00574.fits        NIRC                                                           f/25 top end                                                                   dark               574           -16.02820             0.00000                      2009-05-31                 16:44:52.82             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60292.fits            2009a_u105n                18     f 
             N1.20090531.60309.fits                       s00575.fits        NIRC                                                           f/25 top end                                                                   dark               575           -16.02820             0.00000                      2009-05-31                 16:45:09.47             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60309.fits            2009a_u105n                18     f 
             N1.20090531.60324.fits                       s00576.fits        NIRC                                                           f/25 top end                                                                   dark               576           -16.02820             0.00000                      2009-05-31                 16:45:24.62             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60324.fits            2009a_u105n                18     f 
             N1.20090531.60339.fits                       s00577.fits        NIRC                                                           f/25 top end                                                                   dark               577           -16.02820             0.00000                      2009-05-31                 16:45:39.23             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60339.fits            2009a_u105n                18     f 
             N1.20090531.60352.fits                       s00578.fits        NIRC                                                           f/25 top end                                                                   dark               578           -16.02820             0.00000                      2009-05-31                 16:45:52.43             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60352.fits            2009a_u105n                18     f 
             N1.20090531.60365.fits                       s00579.fits        NIRC                                                           f/25 top end                                                                   dark               579           -16.02820             0.00000                      2009-05-31                 16:46:05.83             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60365.fits            2009a_u105n                18     f 
             N1.20090531.60379.fits                       s00580.fits        NIRC                                                           f/25 top end                                                                   dark               580           -16.02820             0.00000                      2009-05-31                 16:46:19.23             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60379.fits            2009a_u105n                18     f 
             N1.20090531.60394.fits                       s00581.fits        NIRC                                                           f/25 top end                                                                   dark               581           -16.02820             0.00000                      2009-05-31                 16:46:34.73             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60394.fits            2009a_u105n                18     f 
             N1.20090531.60408.fits                       s00582.fits        NIRC                                                           f/25 top end                                                                   dark               582           -16.02820             0.00000                      2009-05-31                 16:46:48.93             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60408.fits            2009a_u105n                18     f 
             N1.20090531.60422.fits                       s00583.fits        NIRC                                                           f/25 top end                                                                   dark               583           -16.02820             0.00000                      2009-05-31                 16:47:02.18             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60422.fits            2009a_u105n                18     f 
             N1.20090531.60435.fits                       s00584.fits        NIRC                                                           f/25 top end                                                                   dark               584           -16.02820             0.00000                      2009-05-31                 16:47:15.83             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60435.fits            2009a_u105n                18     f 
             N1.20090531.60449.fits                       s00585.fits        NIRC                                                           f/25 top end                                                                   dark               585           -16.02820             0.00000                      2009-05-31                 16:47:29.23             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60449.fits            2009a_u105n                18     f 
             N1.20090531.60462.fits                       s00586.fits        NIRC                                                           f/25 top end                                                                   dark               586           -16.02820             0.00000                      2009-05-31                 16:47:42.58             6.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60462.fits            2009a_u105n                18     f 
             N1.20090531.60519.fits                       s00587.fits        NIRC                                                           f/25 top end                                                                   dark               587           -16.02820             0.00000                      2009-05-31                 16:48:39.73            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60519.fits            2009a_u105n                18     f 
             N1.20090531.60587.fits                       s00588.fits        NIRC                                                           f/25 top end                                                                   dark               588           -16.02820             0.00000                      2009-05-31                 16:49:47.93            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60587.fits            2009a_u105n                18     f 
             N1.20090531.60657.fits                       s00589.fits        NIRC                                                           f/25 top end                                                                   dark               589           -16.02820             0.00000                      2009-05-31                 16:50:57.08            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60657.fits            2009a_u105n                18     f 
             N1.20090531.60724.fits                       s00590.fits        NIRC                                                           f/25 top end                                                                   dark               590           -16.02820             0.00000                      2009-05-31                 16:52:04.58            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60724.fits            2009a_u105n                18     f 
             N1.20090531.60792.fits                       s00591.fits        NIRC                                                           f/25 top end                                                                   dark               591           -16.02820             0.00000                      2009-05-31                 16:53:12.13            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60792.fits            2009a_u105n                18     f 
             N1.20090531.60894.fits                       s00592.fits        NIRC                                                           f/25 top end                                                                   dark               592           -16.02820             0.00000                      2009-05-31                 16:54:54.38            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60894.fits            2009a_u105n                18     f 
             N1.20090531.60962.fits                       s00593.fits        NIRC                                                           f/25 top end                                                                   dark               593           -16.02820             0.00000                      2009-05-31                 16:56:02.58            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.60962.fits            2009a_u105n                18     f 
             N1.20090531.61030.fits                       s00594.fits        NIRC                                                           f/25 top end                                                                   dark               594           -16.02820             0.00000                      2009-05-31                 16:57:10.48            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.61030.fits            2009a_u105n                18     f 
             N1.20090531.61099.fits                       s00595.fits        NIRC                                                           f/25 top end                                                                   dark               595           -16.02820             0.00000                      2009-05-31                 16:58:19.58            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.61099.fits            2009a_u105n                18     f 
             N1.20090531.61166.fits                       s00596.fits        NIRC                                                           f/25 top end                                                                   dark               596           -16.02820             0.00000                      2009-05-31                 16:59:26.93            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.61166.fits            2009a_u105n                18     f 
